Room_ID,Size_sqm,Desirability_Score,"Custom Weighted(S:0.6,D:0.3)",Equal Payment,Min Max Deviation,Progressive Cap(+100/-150),Progressive Cap(+75/-100),Proportional,Quadratic(λ=0.25),Quadratic(λ=1.0),Quadratic(λ=2.0),Size+Desirability(30%),Size+Desirability(50%)
Room 1,30.22,3.65,1030.97,822.0,822.0,966.05,934.8,1273.08,912.22,1047.54,1122.72,1249.83,1226.85
Room 3,19.16,4.1,954.26,822.0,822.0,893.77,887.51,849.71,827.54,835.86,840.48,890.89,931.58
Room 4,16.04,4.0,886.32,822.0,822.0,774.34,768.08,730.28,803.66,776.14,760.86,754.35,778.14
Room 5,15.66,3.9,811.96,822.0,822.0,759.79,759.8,715.74,800.75,768.87,751.16,729.08,742.26
Room 6,11.1,3.0,426.49,822.0,822.0,716.05,759.8,541.19,765.84,681.59,634.79,485.85,431.17
